25 (4686) 
21 (4211) 
44 (4508) 
56 (5007) 
9 (4713) 
7 (5062) 
5 (4828) 
3 (4703) 
58 (5181) 
48 (4938) 
29 (5167) 
42 (4165) 
60 (5135) 
34 (4983) 
62 (5003) 
52 (5171) 
74 (4393) 
40 (5113) 
36 (5085) 
31 (4145) 
66 (4749) 
27 (4191) 
66 58 29 (4740) 
36 5 7 (4619) 
52 62 7 (4872) 
66 5 29 (4556) 
25 52 7 (4559) 
58 3 29 (4703) 
48 56 62 (4622) 
9 34 58 (4548) 
60 58 44 (4460) 
56 60 44 (4320) 
9 60 7 (4557) 
40 44 36 (4352) 
48 56 34 (4583) 
56 9 36 (4494) 
58 36 5 (4730) 
58 52 29 (5155) 
40 48 52 (4858) 
56 36 5 (4563) 
34 60 7 (4828) 
25 36 60 (4592) 
74 36 62 (4195) 
34 44 5 (4146) 
9 66 36 (4199) 
40 66 34 (4593) 
48 3 29 (4536) 
60 66 36 (4652) 
56 66 58 (4573) 
25 52 5 (4336) 
56 34 5 (4593) 
40 34 5 (4727) 
40 74 58 (4323) 
34 44 29 (4329) 
9 52 7 (4586) 
56 25 29 (4511) 
66 58 5 (4559) 
40 5 62 (4703) 
48 44 29 (4259) 
9 5 62 (4290) 
40 58 7 (4992) 
40 48 3 (4467) 
40 34 58 (4916) 
40 48 36 (4843) 
40 3 5 (4353) 
40 36 5 (4710) 
25 34 29 (4491) 
48 34 3 (4360) 
48 9 7 (4350) 
58 3 62 (4545) 
25 66 36 (4217) 
48 60 52 (4900) 
9 34 60 (4512) 
66 29 7 (4630) 
9 58 52 (4704) 
40 66 58 (4724) 
56 3 29 (4568) 
58 36 21 (4156) 
56 74 60 (4279) 
52 5 29 (4810) 
48 34 7 (4629) 
3 60 29 (4669) 
52 36 21 (4147) 
60 58 36 (5037) 
56 74 62 (4226) 
34 58 29 (4978) 
48 34 36 (4713) 
9 60 29 (4668) 
3 29 62 (4545) 
48 36 5 (4558) 
48 9 52 (4461) 
40 60 62 (4942) 
48 66 7 (4425) 
25 3 7 (4151) 
56 9 29 (4583) 
9 66 34 (4191) 
56 52 29 (4987) 
40 56 62 (4852) 
40 48 5 (4563) 
40 34 29 (4913) 
3 60 5 (4340) 
40 74 60 (4278) 
56 25 62 (4392) 
56 74 36 (4237) 
48 56 5 (4416) 
74 52 34 (4224) 
48 52 5 (4573) 
48 9 56 (4347) 
48 25 60 (4496) 
66 36 34 (4517) 
48 3 5 (4207) 
56 60 52 (4955) 
25 3 29 (4224) 
40 25 5 (4325) 
66 62 7 (4505) 
36 5 62 (4619) 
56 52 5 (4655) 
56 9 58 (4590) 
48 66 36 (4514) 
3 60 62 (4512) 
52 74 36 (4293) 
48 60 62 (4733) 
56 74 29 (4311) 
58 36 29 (5069) 
58 5 7 (4715) 
40 5 29 (4800) 
48 5 29 (4577) 
58 60 7 (5016) 
40 52 62 (4977) 
48 52 7 (4807) 
40 60 29 (5054) 
48 58 60 (4910) 
40 66 7 (4610) 
74 52 58 (4381) 
25 34 52 (4487) 
48 66 58 (4539) 
74 52 29 (4367) 
9 66 60 (4296) 
40 56 29 (4924) 
66 60 5 (4560) 
25 5 62 (4247) 
74 36 7 (4218) 
40 48 34 (4673) 
56 58 60 (4959) 
52 36 62 (4895) 
52 29 62 (4977) 
40 52 36 (5005) 
58 52 21 (4200) 
58 29 7 (5054) 
40 9 52 (4640) 
60 74 52 (4335) 
48 60 29 (4898) 
40 58 60 (5066) 
74 52 7 (4296) 
56 74 58 (4325) 
9 36 52 (4608) 
48 58 44 (4273) 
40 74 34 (4167) 
58 3 60 (4669) 
40 58 36 (5015) 
66 52 7 (4623) 
66 36 62 (4523) 
48 3 60 (4514) 
40 25 29 (4605) 
48 25 5 (4174) 
40 48 29 (4854) 
40 9 66 (4275) 
48 25 7 (4397) 
56 5 7 (4566) 
56 9 7 (4490) 
3 29 7 (4629) 
9 36 60 (4577) 
56 58 62 (4866) 
40 3 62 (4530) 
34 3 29 (4527) 
3 52 29 (4694) 
56 25 60 (4495) 
25 36 52 (4610) 
56 74 34 (4179) 
40 34 60 (4873) 
9 52 62 (4538) 
56 9 5 (4276) 
9 66 58 (4295) 
27 52 29 (4173) 
34 60 5 (4701) 
60 44 5 (4181) 
48 34 52 (4730) 
52 36 29 (5059) 
44 34 36 (4246) 
25 58 60 (4657) 
25 60 29 (4646) 
9 58 7 (4593) 
56 60 62 (4820) 
48 29 62 (4744) 
25 5 29 (4342) 
34 3 7 (4453) 
40 58 62 (4988) 
60 29 7 (5010) 
40 56 44 (4299) 
48 66 52 (4529) 
9 52 29 (4697) 
40 29 62 (4973) 
58 21 7 (4148) 
56 29 7 (4898) 
66 3 58 (4309) 
25 58 5 7 (4236) 
48 56 58 3 (4401) 
48 60 44 29 (4234) 
25 34 52 5 (4259) 
40 34 36 58 (4819) 
40 44 36 52 (4341) 
48 56 34 52 (4578) 
48 58 60 7 (4792) 
48 3 36 7 (4436) 
48 66 5 7 (4242) 
40 48 58 52 (4857) 
56 66 52 5 (4387) 
40 9 52 48 (4396) 
48 9 36 62 (4276) 
56 9 34 5 (4218) 
40 9 5 29 (4372) 
9 36 5 29 (4292) 
25 36 29 52 (4598) 
48 52 3 36 (4501) 
40 48 36 60 (4817) 
40 66 52 5 (4529) 
66 3 52 29 (4300) 
34 52 58 5 (4736) 
40 3 60 5 (4320) 
40 9 62 56 (4441) 
9 60 5 29 (4352) 
48 60 34 52 (4705) 
48 25 56 7 (4252) 
74 58 52 34 (4223) 
40 5 29 7 (4692) 
40 34 60 58 (4872) 
52 34 44 29 (4320) 
9 52 62 7 (4419) 
56 34 36 5 (4496) 
56 34 29 7 (4731) 
40 25 58 52 (4606) 
9 52 60 25 (4192) 
40 9 66 36 (4178) 
66 58 52 34 (4604) 
56 29 62 7 (4757) 
40 56 44 60 (4253) 
25 66 52 34 (4145) 
25 34 36 5 (4201) 
56 25 62 7 (4293) 
34 3 62 7 (4304) 
56 66 5 62 (4316) 
25 66 58 7 (4167) 
48 66 5 62 (4244) 
40 9 3 52 (4217) 
52 58 44 29 (4481) 
40 3 60 7 (4527) 
58 60 29 7 (5009) 
25 60 5 7 (4209) 
25 34 58 29 (4490) 
56 58 3 29 (4568) 
40 58 52 7 (4981) 
56 25 36 7 (4358) 
3 29 62 7 (4471) 
66 36 29 7 (4533) 
40 9 60 56 (4487) 
56 44 36 7 (4184) 
56 66 36 34 (4361) 
58 3 60 7 (4595) 
40 66 5 62 (4440) 
40 58 44 62 (4360) 
40 60 29 7 (4942) 
40 34 44 29 (4263) 
66 3 36 29 (4216) 
48 56 36 29 (4722) 
40 56 34 60 (4717) 
40 9 52 29 (4632) 
56 36 29 7 (4801) 
40 66 58 7 (4609) 
40 34 44 58 (4266) 
40 25 36 60 (4524) 
56 36 5 29 (4556) 
48 25 34 29 (4319) 
9 3 52 60 (4256) 
48 56 34 5 (4349) 
52 44 62 7 (4252) 
56 58 52 7 (4899) 
40 48 3 60 (4446) 
40 9 60 29 (4603) 
56 3 62 7 (4374) 
34 3 66 29 (4190) 
40 48 66 7 (4401) 
40 56 36 7 (4740) 
40 60 34 44 (4223) 
34 58 62 29 (4809) 
25 58 60 7 (4540) 
56 25 34 58 (4350) 
25 58 29 7 (4562) 
56 34 44 29 (4203) 
40 58 3 7 (4560) 
56 9 58 52 (4585) 
40 36 29 7 (4889) 
56 66 58 7 (4476) 
48 34 58 5 (4501) 
36 5 62 7 (4507) 
66 60 58 7 (4633) 
58 52 29 7 (5043) 
48 66 60 58 (4539) 
40 56 34 7 (4667) 
9 58 5 7 (4281) 
40 3 60 62 (4497) 
25 52 60 7 (4531) 
40 34 29 62 (4797) 
34 3 5 62 (4215) 
40 56 74 29 (4243) 
56 9 60 29 (4546) 
60 66 52 34 (4605) 
40 9 52 62 (4526) 
40 60 58 52 (5055) 
40 56 34 29 (4757) 
60 66 3 36 (4216) 
52 74 36 58 (4292) 
25 34 36 52 (4421) 
40 74 36 7 (4149) 
40 9 58 25 (4156) 
74 36 58 29 (4288) 
9 52 5 62 (4282) 
40 52 66 36 (4617) 
56 66 5 7 (4301) 
52 3 36 60 (4567) 
40 56 34 5 (4574) 
34 60 29 62 (4765) 
52 44 62 60 (4318) 
9 3 52 7 (4209) 
5 36 29 7 (4616) 
48 9 60 29 (4444) 
56 52 74 36 (4232) 
48 3 5 29 (4207) 
40 58 3 62 (4530) 
40 66 3 36 (4192) 
48 34 5 62 (4391) 
40 9 56 7 (4425) 
60 3 52 62 (4503) 
56 74 52 29 (4306) 
34 36 5 29 (4645) 
9 58 60 29 (4667) 
48 25 36 7 (4378) 
40 48 60 7 (4725) 
40 56 5 7 (4546) 
40 66 58 5 (4539) 
48 9 36 29 (4435) 
56 66 34 5 (4328) 
48 56 52 5 (4411) 
9 36 5 60 (4257) 
9 29 62 7 (4427) 
9 36 5 62 (4193) 
48 56 34 29 (4579) 
9 58 5 62 (4290) 
40 58 52 5 (4795) 
48 60 3 52 (4505) 
56 34 52 5 (4588) 
48 9 36 7 (4324) 
56 9 34 58 (4432) 
74 29 58 7 (4299) 
40 25 52 60 (4580) 
34 36 5 62 (4538) 
40 9 66 34 (4172) 
9 60 5 7 (4245) 
9 36 29 60 (4571) 
48 9 34 60 (4288) 
40 25 36 5 (4259) 
58 27 60 29 (4150) 
52 58 44 5 (4216) 
56 9 58 3 (4188) 
52 34 36 7 (4767) 
40 56 5 29 (4633) 
48 3 36 62 (4352) 
60 58 52 21 (4157) 
56 74 52 58 (4320) 
66 52 58 5 (4548) 
48 9 34 58 (4304) 
66 52 5 29 (4545) 
48 56 52 60 (4731) 
52 34 44 62 (4192) 
60 5 62 29 (4665) 
40 66 58 34 (4592) 
56 52 36 5 (4558) 
48 25 60 29 (4484) 
40 48 60 56 (4669) 
60 74 52 62 (4227) 
25 60 29 62 (4482) 
9 60 29 62 (4501) 
56 34 3 5 (4192) 
40 34 52 58 (4907) 
9 36 62 60 (4410) 
74 36 58 62 (4195) 
56 66 36 5 (4295) 
40 56 5 62 (4567) 
48 25 36 52 (4485) 
48 29 62 7 (4632) 
40 58 44 5 (4206) 
48 34 52 7 (4620) 
40 25 52 7 (4490) 
66 52 5 62 (4442) 
40 3 36 7 (4467) 
66 52 58 7 (4622) 
40 44 29 62 (4345) 
9 58 3 60 (4262) 
40 25 5 62 (4234) 
48 66 34 7 (4296) 
66 3 60 29 (4309) 
52 58 36 29 (5058) 
48 25 60 62 (4332) 
60 66 3 52 (4300) 
9 58 60 25 (4198) 
56 66 60 34 (4458) 
40 48 58 7 (4748) 
52 34 44 60 (4279) 
56 58 5 29 (4652) 
40 48 44 29 (4190) 
56 3 36 7 (4401) 
58 3 66 29 (4309) 
40 25 66 29 (4251) 
40 52 36 29 (4990) 
56 60 52 29 (4942) 
56 44 58 36 (4279) 
56 60 66 36 (4477) 
56 34 52 7 (4728) 
48 9 52 60 (4442) 
44 58 36 60 (4373) 
56 9 58 36 (4493) 
9 66 29 7 (4182) 
40 66 60 34 (4593) 
48 56 58 7 (4660) 
56 3 36 29 (4475) 
40 66 36 29 (4620) 
48 58 3 60 (4514) 
40 3 60 29 (4601) 
56 66 60 29 (4566) 
40 56 74 62 (4212) 
48 56 5 62 (4335) 
40 25 5 29 (4321) 
48 25 58 5 (4173) 
58 52 29 62 (4977) 
56 66 34 7 (4365) 
25 36 60 52 (4582) 
3 36 29 62 (4452) 
9 52 29 7 (4586) 
34 44 58 7 (4230) 
40 25 58 5 (4324) 
56 52 44 29 (4347) 
40 60 36 62 (4845) 
34 29 62 7 (4701) 
40 56 58 29 (4923) 
48 34 60 58 (4713) 
56 34 3 7 (4335) 
60 58 36 29 (5024) 
56 58 5 62 (4579) 
60 66 52 58 (4737) 
40 60 3 36 (4508) 
40 66 34 7 (4484) 
56 74 58 29 (4310) 
40 48 5 62 (4459) 
58 5 62 29 (4709) 
56 60 5 7 (4521) 
40 34 62 7 (4691) 
56 25 36 62 (4326) 
40 56 66 29 (4543) 
40 58 36 7 (4895) 
40 74 60 7 (4194) 
56 36 29 62 (4754) 
66 58 62 7 (4505) 
40 9 66 7 (4161) 
56 60 36 29 (4850) 
40 74 62 7 (4183) 
25 58 3 52 (4216) 
56 58 60 29 (4946) 
56 34 5 7 (4503) 
66 52 34 62 (4485) 
25 34 36 62 (4272) 
25 66 58 62 (4168) 
60 44 29 62 (4316) 
56 66 58 29 (4565) 
3 5 29 7 (4303) 
56 74 60 7 (4213) 
52 44 29 62 (4349) 
56 3 60 5 (4212) 
9 34 29 62 (4388) 
25 66 60 62 (4168) 
56 36 5 62 (4482) 
66 34 62 7 (4385) 
56 58 52 29 (4986) 
40 48 36 5 (4537) 
58 36 5 29 (4723) 
40 56 66 5 (4373) 
66 60 29 62 (4612) 
40 9 60 62 (4495) 
60 34 36 7 (4731) 
66 60 34 29 (4610) 
58 36 29 62 (4891) 
25 66 29 7 (4164) 
40 25 52 62 (4496) 
56 74 29 62 (4211) 
56 66 3 60 (4174) 
48 60 3 36 (4488) 
