62 (3060.0) 
7 (3076.0) 
52 (3185.0) 
5 (2971.0) 
42 (2714.0) 
3 (2839.0) 
64 (2631.0) 
66 (3021.0) 
60 (3149.0) 
40 (3170.0) 
25 (2860.0) 
36 (3099.0) 
58 (3195.0) 
48 (3013.0) 
44 (2612.0) 
29 (3181.0) 
34 (3040.0) 
56 (3021.0) 
9 (2874.0) 
56 29 (3006.0) 
52 44 (2601.0) 
48 3 (2672.0) 
34 52 (3031.0) 
66 3 (2703.0) 
48 56 (2838.0) 
66 36 29 (2916.0) 
40 25 62 (2723.0) 
25 66 7 (2600.0) 
66 34 62 (2766.0) 
40 25 34 (2689.0) 
34 3 58 (2706.0) 
25 60 5 (2621.0) 
56 25 58 (2696.0) 
48 66 3 (2563.0) 
48 56 60 (2811.0) 
40 58 44 (2585.0) 
56 58 29 (3005.0) 
9 34 62 (2637.0) 
66 29 62 (2884.0) 
40 52 5 (2939.0) 
34 3 5 (2572.0) 
3 36 29 (2746.0) 
34 3 60 (2672.0) 
66 3 34 (2584.0) 
9 66 7 (2601.0) 
56 34 7 (2790.0) 
48 9 62 (2567.0) 
40 36 62 (2948.0) 
48 3 52 (2663.0) 
56 34 3 (2588.0) 
56 60 29 (2961.0) 
58 36 7 (2978.0) 
25 58 29 (2847.0) 
40 60 36 (3027.0) 
40 25 7 (2717.0) 
3 62 7 (2650.0) 
48 58 36 (2986.0) 
40 58 29 (3154.0) 
56 66 3 (2568.0) 
52 34 36 (2934.0) 
25 66 34 (2585.0) 
66 60 7 (2906.0) 
9 52 60 (2827.0) 
40 42 60 (2671.0) 
66 34 29 (2882.0) 
48 9 34 (2570.0) 
56 9 52 (2747.0) 
66 3 62 (2591.0) 
25 29 7 (2737.0) 
40 66 52 (2986.0) 
64 40 29 (2615.0) 
56 3 52 (2700.0) 
56 58 3 (2704.0) 
60 52 7 (3020.0) 
48 66 29 (2865.0) 
48 56 58 (2837.0) 
52 5 62 (2848.0) 
48 25 62 (2627.0) 
40 34 42 (2588.0) 
34 52 29 (3027.0) 
56 52 7 (2914.0) 
56 9 66 (2593.0) 
48 5 62 (2676.0) 
3 36 7 (2672.0) 
56 60 36 (2877.0) 
9 29 62 (2742.0) 
52 36 5 (2863.0) 
56 9 34 (2637.0) 
25 58 62 (2738.0) 
48 58 60 (2985.0) 
48 56 7 (2736.0) 
9 34 60 (2716.0) 
48 56 66 (2698.0) 
9 3 29 (2571.0) 
40 9 5 (2666.0) 
3 60 62 (2691.0) 
40 48 58 (2986.0) 
60 52 62 (3003.0) 
40 9 60 (2813.0) 
66 36 34 (2789.0) 
42 58 62 (2598.0) 
52 3 36 (2737.0) 
42 58 7 (2602.0) 
52 58 36 (3087.0) 
48 52 36 (2976.0) 
40 66 5 (2812.0) 
9 36 62 (2653.0) 
48 36 29 (2972.0) 
60 5 7 (2814.0) 
48 34 60 (2832.0) 
52 44 29 (2586.0) 
48 58 29 (2997.0) 
66 60 62 (2892.0) 
48 3 36 (2646.0) 
56 58 36 (2923.0) 
34 42 29 (2598.0) 
40 25 5 (2628.0) 
48 25 52 (2739.0) 
58 52 7 (3064.0) 
56 66 62 (2755.0) 
58 3 52 (2830.0) 
58 5 62 (2859.0) 
40 60 7 (3006.0) 
52 5 7 (2848.0) 
9 34 36 (2656.0) 
25 66 29 (2707.0) 
9 60 5 (2644.0) 
9 60 62 (2711.0) 
58 60 5 (2923.0) 
34 29 7 (2928.0) 
42 29 62 (2586.0) 
56 34 62 (2791.0) 
25 36 62 (2672.0) 
66 52 42 (2606.0) 
56 34 60 (2839.0) 
40 66 29 (2989.0) 
66 58 7 (2905.0) 
34 60 58 (2994.0) 
36 29 62 (2948.0) 
52 36 60 (3041.0) 
48 56 52 (2833.0) 
34 52 62 (2904.0) 
56 25 52 (2693.0) 
56 36 62 (2826.0) 
48 66 62 (2744.0) 
34 3 52 (2699.0) 
58 3 36 (2746.0) 
40 56 3 (2679.0) 
48 34 58 (2856.0) 
42 60 7 (2579.0) 
40 56 7 (2894.0) 
34 58 62 (2913.0) 
40 29 7 (3043.0) 
40 52 44 (2575.0) 
25 36 7 (2677.0) 
48 25 36 (2730.0) 
48 9 60 (2672.0) 
56 42 29 (2558.0) 
66 58 62 (2892.0) 
56 52 5 (2798.0) 
34 58 29 (3035.0) 
40 42 58 (2696.0) 
34 36 5 (2792.0) 
25 66 60 (2715.0) 
48 66 34 (2738.0) 
66 5 7 (2723.0) 
34 62 7 (2803.0) 
9 52 5 (2675.0) 
40 42 29 (2685.0) 
9 58 5 (2682.0) 
40 34 7 (2907.0) 
58 60 62 (3014.0) 
40 3 29 (2813.0) 
9 5 29 (2679.0) 
9 66 52 (2707.0) 
40 3 36 (2720.0) 
36 5 29 (2867.0) 
48 34 5 (2706.0) 
58 3 5 (2639.0) 
56 3 60 (2670.0) 
66 3 7 (2630.0) 
64 58 52 (2629.0) 
25 34 62 (2598.0) 
48 52 29 (2987.0) 
40 48 62 (2862.0) 
48 36 62 (2851.0) 
66 3 60 (2703.0) 
64 40 60 (2584.0) 
56 66 7 (2749.0) 
58 36 29 (3083.0) 
9 5 7 (2572.0) 
25 36 5 (2583.0) 
40 9 7 (2733.0) 
25 60 62 (2711.0) 
48 36 5 (2762.0) 
42 60 58 (2687.0) 
40 25 56 (2672.0) 
56 25 36 (2631.0) 
34 5 62 (2778.0) 
40 48 5 (2767.0) 
9 29 7 (2755.0) 
40 9 58 (2851.0) 
42 52 58 (2707.0) 
56 34 52 (2879.0) 
40 58 3 (2813.0) 
48 60 62 (2851.0) 
40 66 7 (2882.0) 
9 66 62 (2597.0) 
36 62 7 (2843.0) 
3 52 29 (2830.0) 
34 60 7 (2885.0) 
56 36 7 (2822.0) 
34 5 29 (2885.0) 
48 34 36 (2831.0) 
40 25 48 (2723.0) 
56 3 36 (2611.0) 
40 56 5 (2783.0) 
56 52 62 (2918.0) 
40 9 56 (2730.0) 
25 58 52 (2849.0) 
40 34 62 (2901.0) 
60 36 62 (2917.0) 
40 62 7 (2925.0) 
52 58 44 (2600.0) 
9 34 29 (2751.0) 
56 60 5 (2756.0) 
9 58 60 (2834.0) 
25 34 7 (2603.0) 
34 36 58 (2942.0) 
66 5 29 (2828.0) 
40 52 29 (3144.0) 
3 52 5 (2630.0) 
40 66 36 (2900.0) 
40 25 52 (2824.0) 
66 42 29 (2604.0) 
34 60 62 (2869.0) 
48 52 62 (2866.0) 
48 25 56 (2586.0) 
40 56 29 (2981.0) 
56 25 7 (2598.0) 
58 62 7 (2940.0) 
58 36 62 (2963.0) 
48 25 66 (2621.0) 
48 56 29 (2823.0) 
40 25 66 (2691.0) 
60 58 52 (3137.0) 
48 5 7 (2676.0) 
40 9 36 (2755.0) 
48 9 58 (2690.0) 
66 60 42 (2612.0) 
56 66 36 (2749.0) 
66 34 5 (2753.0) 
64 52 29 (2615.0) 
40 66 60 (2997.0) 
56 5 29 (2796.0) 
48 62 7 (2757.0) 
48 3 62 (2557.0) 
42 58 29 (2701.0) 
25 52 62 (2728.0) 
40 34 3 (2683.0) 
34 58 7 (2929.0) 
48 25 29 (2737.0) 
25 60 7 (2715.0) 
48 58 5 (2787.0) 
9 34 7 (2644.0) 
40 56 36 (2899.0) 
40 42 52 (2691.0) 
34 3 62 (2600.0) 
64 58 60 (2583.0) 
48 34 62 (2730.0) 
25 52 29 (2838.0) 
56 29 62 (2908.0) 
40 5 7 (2838.0) 
48 60 5 (2761.0) 
40 66 42 (2596.0) 
40 34 36 (2920.0) 
66 52 58 (3009.0) 
40 3 5 (2618.0) 
3 5 29 (2639.0) 
60 62 7 (2896.0) 
34 58 42 (2601.0) 
56 25 34 (2568.0) 
40 48 56 (2813.0) 
34 29 62 (2909.0) 
40 34 52 (3008.0) 
56 62 7 (2821.0) 
52 29 62 (3034.0) 
9 58 3 (2571.0) 
56 58 52 (3015.0) 
9 36 29 (2769.0) 
66 58 42 (2611.0) 
34 58 5 (2888.0) 
58 36 5 (2873.0) 
48 58 62 (2877.0) 
48 66 5 (2684.0) 
66 52 5 (2821.0) 
56 58 7 (2918.0) 
58 5 29 (2963.0) 
9 36 7 (2658.0) 
48 60 7 (2868.0) 
9 36 5 (2586.0) 
48 66 60 (2873.0) 
3 36 62 (2631.0) 
58 29 62 (3045.0) 
40 58 52 (3158.0) 
60 34 52 (2986.0) 
25 66 58 (2714.0) 
66 36 7 (2809.0) 
40 56 60 (2950.0) 
40 58 5 (2949.0) 
25 58 7 (2742.0) 
5 29 7 (2856.0) 
40 3 7 (2739.0) 
25 66 52 (2705.0) 
48 58 7 (2892.0) 
60 36 5 (2827.0) 
60 66 52 (3010.0) 
48 29 7 (2886.0) 
40 9 62 (2738.0) 
34 36 62 (2816.0) 
66 36 5 (2735.0) 
25 52 60 (2822.0) 
56 5 62 (2722.0) 
56 66 52 (2841.0) 
40 5 62 (2846.0) 
36 29 7 (2972.0) 
40 60 5 (2904.0) 
48 58 3 (2672.0) 
5 62 7 (2747.0) 
48 9 29 (2683.0) 
56 58 5 (2802.0) 
9 58 62 (2750.0) 
56 3 7 (2630.0) 
25 29 62 (2726.0) 
40 9 34 (2733.0) 
34 52 42 (2597.0) 
56 66 60 (2846.0) 
60 36 7 (2934.0) 
9 34 5 (2622.0) 
52 36 7 (2968.0) 
56 66 34 (2730.0) 
60 5 29 (2919.0) 
60 42 52 (2682.0) 
25 34 60 (2684.0) 
52 62 7 (2929.0) 
29 62 7 (2933.0) 
58 52 62 (3049.0) 
66 60 34 (2886.0) 
25 34 36 (2646.0) 
66 36 58 (2923.0) 
56 42 52 (2565.0) 
66 3 29 (2703.0) 
56 9 60 (2713.0) 
40 56 58 (2995.0) 
25 62 7 (2621.0) 
60 5 62 (2813.0) 
66 5 62 (2725.0) 
58 60 29 (3135.0) 
34 5 7 (2783.0) 
48 58 52 (3001.0) 
60 52 29 (3125.0) 
66 58 34 (2885.0) 
34 52 7 (2921.0) 
40 56 66 (2823.0) 
40 48 36 (2961.0) 
66 52 34 (2877.0) 
40 25 36 (2768.0) 
60 34 36 (2898.0) 
42 29 7 (2599.0) 
66 52 62 (2881.0) 
40 56 34 (2861.0) 
66 60 29 (3013.0) 
48 52 7 (2882.0) 
58 44 29 (2596.0) 
42 36 58 (2625.0) 
56 34 36 (2787.0) 
9 34 52 (2745.0) 
3 52 7 (2756.0) 
66 34 7 (2777.0) 
40 58 36 (3072.0) 
56 66 29 (2838.0) 
34 52 5 (2880.0) 
3 29 7 (2765.0) 
25 66 62 (2600.0) 
9 52 62 (2742.0) 
40 9 29 (2844.0) 
9 58 7 (2754.0) 
34 36 29 (2939.0) 
40 3 60 (2780.0) 
48 56 36 (2812.0) 
9 3 52 (2565.0) 
56 34 29 (2880.0) 
40 48 66 (2849.0) 
58 60 7 (3030.0) 
40 44 29 (2571.0) 
56 60 7 (2874.0) 
40 25 58 (2833.0) 
40 36 7 (2953.0) 
48 36 7 (2867.0) 
40 34 58 (3016.0) 
40 9 48 (2669.0) 
9 58 29 (2865.0) 
56 66 5 (2664.0) 
56 52 36 (2919.0) 
40 52 62 (3034.0) 
40 60 52 (3113.0) 
42 60 29 (2678.0) 
56 36 29 (2909.0) 
34 52 58 (3030.0) 
25 58 60 (2831.0) 
56 34 58 (2883.0) 
40 56 52 (2991.0) 
56 9 62 (2657.0) 
60 36 29 (3039.0) 
52 66 36 (2913.0) 
34 3 36 (2613.0) 
25 36 29 (2782.0) 
48 60 36 (2960.0) 
66 52 29 (3002.0) 
40 66 62 (2877.0) 
9 66 29 (2711.0) 
52 29 7 (3058.0) 
66 58 29 (3012.0) 
40 36 5 (2853.0) 
3 60 5 (2605.0) 
25 52 7 (2733.0) 
58 3 29 (2839.0) 
48 56 62 (2740.0) 
9 34 58 (2752.0) 
36 5 62 (2762.0) 
60 3 36 (2712.0) 
9 60 7 (2718.0) 
48 42 58 (2563.0) 
48 56 34 (2701.0) 
56 9 36 (2655.0) 
58 52 29 (3169.0) 
40 48 52 (2976.0) 
56 36 5 (2706.0) 
25 34 58 (2711.0) 
9 66 36 (2618.0) 
40 66 34 (2865.0) 
48 3 29 (2672.0) 
60 66 36 (2924.0) 
56 66 58 (2845.0) 
48 60 52 (2975.0) 
40 34 5 (2870.0) 
40 42 7 (2586.0) 
9 52 7 (2747.0) 
9 62 7 (2631.0) 
56 25 29 (2685.0) 
66 58 5 (2831.0) 
9 5 62 (2580.0) 
40 58 7 (3049.0) 
40 48 3 (2646.0) 
3 60 7 (2731.0) 
48 3 7 (2598.0) 
64 40 58 (2629.0) 
3 5 7 (2568.0) 
25 34 29 (2708.0) 
48 9 7 (2572.0) 
58 52 5 (2959.0) 
25 66 36 (2649.0) 
25 52 5 (2639.0) 
9 58 36 (2776.0) 
66 29 7 (2902.0) 
9 58 52 (2865.0) 
40 66 58 (2996.0) 
56 3 29 (2704.0) 
58 3 62 (2724.0) 
52 5 29 (2953.0) 
48 34 7 (2747.0) 
3 60 29 (2805.0) 
3 52 62 (2715.0) 
60 58 36 (3051.0) 
64 58 29 (2615.0) 
9 60 29 (2829.0) 
3 29 62 (2724.0) 
48 9 52 (2683.0) 
40 60 62 (2999.0) 
48 66 7 (2758.0) 
56 9 29 (2744.0) 
9 66 34 (2610.0) 
56 52 29 (3001.0) 
40 56 62 (2909.0) 
40 25 60 (2807.0) 
40 34 29 (3013.0) 
42 52 7 (2597.0) 
64 60 29 (2571.0) 
56 25 62 (2609.0) 
60 42 36 (2600.0) 
48 56 5 (2620.0) 
48 9 66 (2567.0) 
48 52 5 (2777.0) 
48 9 56 (2569.0) 
48 25 60 (2731.0) 
66 60 58 (3020.0) 
56 60 52 (2969.0) 
52 42 36 (2620.0) 
40 48 60 (2961.0) 
66 62 7 (2777.0) 
40 52 7 (3039.0) 
56 3 62 (2627.0) 
64 60 52 (2583.0) 
40 3 52 (2804.0) 
48 66 36 (2847.0) 
60 52 5 (2913.0) 
60 29 62 (3001.0) 
34 60 29 (2991.0) 
58 5 7 (2858.0) 
40 5 29 (2943.0) 
25 60 29 (2820.0) 
40 66 3 (2679.0) 
34 36 7 (2833.0) 
36 5 7 (2762.0) 
40 60 29 (3111.0) 
25 58 5 (2648.0) 
25 34 52 (2704.0) 
48 66 58 (2872.0) 
64 40 52 (2629.0) 
9 66 60 (2715.0) 
42 60 62 (2572.0) 
66 60 5 (2832.0) 
34 60 42 (2578.0) 
48 9 36 (2665.0) 
40 48 34 (2834.0) 
56 58 60 (2973.0) 
52 36 62 (2952.0) 
56 42 58 (2569.0) 
66 3 36 (2610.0) 
40 52 36 (3062.0) 
66 3 52 (2694.0) 
48 25 34 (2601.0) 
58 29 7 (3068.0) 
40 9 52 (2844.0) 
48 60 29 (2973.0) 
42 36 29 (2614.0) 
34 3 7 (2632.0) 
56 34 5 (2736.0) 
42 58 5 (2561.0) 
9 36 52 (2769.0) 
40 42 36 (2609.0) 
58 3 60 (2805.0) 
58 3 7 (2765.0) 
66 36 62 (2795.0) 
48 25 58 (2748.0) 
40 25 29 (2822.0) 
48 42 52 (2558.0) 
40 48 29 (2972.0) 
40 9 66 (2694.0) 
48 25 7 (2632.0) 
25 36 60 (2766.0) 
56 5 7 (2709.0) 
56 9 7 (2651.0) 
40 36 29 (3058.0) 
42 52 62 (2592.0) 
25 34 5 (2570.0) 
48 3 60 (2650.0) 
56 58 62 (2923.0) 
40 3 62 (2709.0) 
34 3 29 (2706.0) 
40 29 62 (3030.0) 
5 62 29 (2852.0) 
25 58 36 (2793.0) 
56 25 60 (2669.0) 
25 36 52 (2784.0) 
40 34 60 (2973.0) 
42 52 29 (2696.0) 
56 9 5 (2566.0) 
9 66 58 (2714.0) 
34 60 5 (2844.0) 
40 42 62 (2588.0) 
48 34 52 (2848.0) 
52 36 29 (3073.0) 
60 58 44 (2564.0) 
56 9 58 (2751.0) 
48 5 29 (2781.0) 
9 36 60 (2738.0) 
56 60 62 (2877.0) 
48 29 62 (2862.0) 
25 5 29 (2645.0) 
40 58 60 (3123.0) 
66 52 7 (2895.0) 
60 29 7 (3024.0) 
48 34 29 (2853.0) 
48 66 52 (2862.0) 
9 52 29 (2858.0) 
40 48 7 (2867.0) 
60 3 52 (2796.0) 
40 58 62 (3045.0) 
56 29 7 (2912.0) 
66 3 58 (2703.0) 
48 58 60 7 (2867.0) 
48 60 34 52 (2823.0) 
48 56 34 52 (2696.0) 
48 3 36 7 (2572.0) 
48 66 5 7 (2575.0) 
9 36 62 52 (2645.0) 
40 48 58 52 (2975.0) 
56 66 52 5 (2659.0) 
40 9 52 48 (2661.0) 
40 34 60 42 (2564.0) 
40 9 5 29 (2662.0) 
9 36 5 29 (2582.0) 
25 36 29 52 (2772.0) 
48 52 3 36 (2637.0) 
40 25 36 5 (2562.0) 
40 66 52 5 (2801.0) 
66 3 52 29 (2694.0) 
34 52 58 5 (2879.0) 
40 9 62 56 (2645.0) 
9 60 5 29 (2642.0) 
25 34 52 5 (2562.0) 
42 60 58 7 (2578.0) 
56 60 5 7 (2664.0) 
60 34 52 42 (2573.0) 
40 5 29 7 (2835.0) 
40 34 60 58 (2972.0) 
42 52 29 7 (2593.0) 
56 34 36 5 (2639.0) 
56 34 29 7 (2788.0) 
40 25 58 52 (2823.0) 
40 9 66 36 (2597.0) 
66 58 52 34 (2876.0) 
56 29 62 7 (2814.0) 
25 66 52 34 (2577.0) 
48 60 34 36 (2806.0) 
42 60 29 62 (2562.0) 
40 58 60 62 (2999.0) 
56 66 5 62 (2588.0) 
25 66 58 7 (2599.0) 
25 66 60 62 (2600.0) 
52 58 44 29 (2585.0) 
40 3 60 7 (2706.0) 
58 60 29 7 (3023.0) 
25 34 58 29 (2707.0) 
56 58 3 29 (2704.0) 
40 58 52 7 (3038.0) 
34 52 42 29 (2593.0) 
3 29 62 7 (2650.0) 
66 36 29 7 (2805.0) 
40 9 60 56 (2691.0) 
56 66 36 34 (2633.0) 
52 42 36 60 (2594.0) 
58 3 60 7 (2731.0) 
40 66 5 62 (2712.0) 
58 3 34 29 (2706.0) 
66 3 36 29 (2610.0) 
48 56 36 29 (2797.0) 
56 58 3 7 (2630.0) 
40 42 52 62 (2582.0) 
56 36 29 7 (2815.0) 
40 66 58 7 (2881.0) 
40 48 36 5 (2741.0) 
56 36 5 29 (2699.0) 
34 60 5 29 (2840.0) 
56 58 52 7 (2913.0) 
40 9 60 29 (2807.0) 
34 3 66 29 (2584.0) 
40 48 66 7 (2734.0) 
40 56 36 7 (2797.0) 
25 34 5 29 (2566.0) 
48 58 5 7 (2675.0) 
56 25 34 58 (2567.0) 
25 58 29 7 (2736.0) 
40 58 3 7 (2739.0) 
56 9 58 52 (2746.0) 
40 36 29 7 (2946.0) 
56 66 58 7 (2748.0) 
64 40 60 29 (2571.0) 
25 34 60 58 (2683.0) 
40 42 60 29 (2661.0) 
64 40 58 60 (2583.0) 
36 5 62 7 (2650.0) 
66 60 58 7 (2905.0) 
58 52 29 7 (3057.0) 
48 66 60 58 (2872.0) 
56 58 3 60 (2670.0) 
40 3 60 62 (2676.0) 
48 52 5 7 (2665.0) 
40 34 29 62 (2897.0) 
56 9 60 29 (2707.0) 
60 66 52 34 (2877.0) 
40 9 52 62 (2730.0) 
40 60 58 52 (3112.0) 
40 56 34 29 (2857.0) 
60 66 3 36 (2610.0) 
25 34 36 52 (2638.0) 
9 52 5 62 (2572.0) 
40 52 66 36 (2889.0) 
56 66 5 7 (2573.0) 
52 3 36 60 (2703.0) 
40 56 34 5 (2717.0) 
34 60 29 62 (2865.0) 
5 36 29 7 (2759.0) 
48 9 60 29 (2666.0) 
34 60 62 7 (2759.0) 
40 66 3 36 (2586.0) 
64 60 58 52 (2582.0) 
48 34 5 62 (2595.0) 
40 9 56 7 (2629.0) 
60 3 52 62 (2682.0) 
34 36 5 29 (2788.0) 
42 60 58 62 (2572.0) 
48 25 36 7 (2613.0) 
40 56 5 7 (2689.0) 
40 66 58 5 (2811.0) 
48 9 36 29 (2657.0) 
56 66 34 5 (2600.0) 
48 58 36 5 (2761.0) 
56 25 52 60 (2665.0) 
48 9 66 52 (2559.0) 
9 29 62 7 (2631.0) 
48 56 34 29 (2697.0) 
9 58 5 62 (2580.0) 
40 58 52 5 (2938.0) 
48 60 3 52 (2641.0) 
56 34 52 5 (2731.0) 
56 9 34 58 (2636.0) 
40 25 52 60 (2797.0) 
34 36 5 62 (2681.0) 
40 9 66 34 (2591.0) 
9 36 29 60 (2732.0) 
40 48 36 60 (2935.0) 
40 66 60 42 (2596.0) 
48 9 29 7 (2572.0) 
52 34 36 7 (2824.0) 
40 56 5 29 (2776.0) 
66 52 58 5 (2820.0) 
48 9 34 58 (2569.0) 
66 52 5 29 (2817.0) 
48 25 29 62 (2615.0) 
40 66 58 34 (2864.0) 
56 52 36 5 (2701.0) 
48 25 60 29 (2719.0) 
48 5 62 29 (2669.0) 
9 60 29 62 (2705.0) 
60 3 52 7 (2722.0) 
60 42 36 29 (2590.0) 
56 66 36 5 (2567.0) 
40 56 5 62 (2710.0) 
48 25 36 52 (2720.0) 
48 29 62 7 (2750.0) 
48 34 52 7 (2738.0) 
40 25 52 7 (2707.0) 
66 52 5 62 (2714.0) 
60 34 36 58 (2897.0) 
66 52 58 7 (2894.0) 
40 48 60 62 (2836.0) 
48 66 34 7 (2629.0) 
66 3 60 29 (2703.0) 
52 58 36 29 (3072.0) 
48 25 60 62 (2610.0) 
60 66 3 52 (2694.0) 
56 66 60 34 (2730.0) 
40 48 58 7 (2866.0) 
56 58 5 29 (2795.0) 
58 3 66 29 (2703.0) 
40 25 66 29 (2683.0) 
40 52 36 29 (3047.0) 
56 60 52 29 (2956.0) 
56 60 66 36 (2749.0) 
56 34 52 7 (2785.0) 
48 9 52 60 (2664.0) 
56 9 58 36 (2654.0) 
9 66 29 7 (2601.0) 
40 66 60 34 (2865.0) 
48 56 58 7 (2735.0) 
56 3 36 29 (2611.0) 
40 66 36 29 (2892.0) 
48 58 3 60 (2650.0) 
34 29 58 7 (2927.0) 
56 66 60 29 (2838.0) 
56 25 60 62 (2582.0) 
40 25 5 29 (2624.0) 
40 34 3 7 (2609.0) 
58 52 29 62 (3034.0) 
56 66 34 7 (2637.0) 
48 52 36 5 (2751.0) 
3 36 29 62 (2631.0) 
9 52 29 7 (2747.0) 
40 60 36 62 (2902.0) 
34 29 62 7 (2801.0) 
40 56 58 29 (2980.0) 
40 48 3 7 (2572.0) 
60 58 36 29 (3038.0) 
56 58 5 62 (2722.0) 
60 66 52 58 (3009.0) 
34 36 58 7 (2832.0) 
40 42 60 7 (2562.0) 
40 66 34 7 (2756.0) 
40 25 60 62 (2696.0) 
58 5 62 29 (2852.0) 
58 3 60 62 (2691.0) 
40 56 66 29 (2815.0) 
60 34 3 36 (2579.0) 
56 36 29 62 (2811.0) 
66 58 62 7 (2777.0) 
40 9 66 7 (2580.0) 
56 60 36 29 (2864.0) 
56 58 60 29 (2960.0) 
56 34 5 7 (2646.0) 
66 52 34 62 (2757.0) 
25 66 58 62 (2600.0) 
40 48 5 62 (2663.0) 
56 66 58 29 (2837.0) 
3 5 29 7 (2568.0) 
42 52 58 7 (2596.0) 
9 34 29 62 (2635.0) 
48 66 5 62 (2577.0) 
56 36 5 62 (2625.0) 
66 34 62 7 (2657.0) 
56 58 52 29 (3000.0) 
40 25 36 60 (2741.0) 
58 36 5 29 (2866.0) 
40 56 66 5 (2645.0) 
66 60 29 62 (2884.0) 
40 66 58 42 (2595.0) 
40 9 60 62 (2699.0) 
40 58 3 36 (2720.0) 
66 60 34 29 (2882.0) 
25 66 29 7 (2596.0) 
40 25 52 62 (2713.0) 
56 66 3 60 (2568.0) 
48 60 3 36 (2624.0) 
48 9 34 52 (2562.0) 
40 48 36 52 (2950.0) 
25 52 29 7 (2727.0) 
48 25 66 60 (2621.0) 
48 56 52 60 (2806.0) 
34 3 5 29 (2572.0) 
56 9 60 62 (2618.0) 
48 66 58 62 (2744.0) 
9 52 62 7 (2623.0) 
48 66 36 5 (2658.0) 
56 52 5 29 (2791.0) 
40 34 58 5 (2869.0) 
48 25 60 56 (2568.0) 
40 42 58 7 (2585.0) 
40 52 5 7 (2827.0) 
56 34 3 52 (2584.0) 
9 66 58 62 (2597.0) 
